item_code,item_name,brand,total_qty,carton_capacity,carton_units,qty_in_boxes,asp_egp,total_revenue,n_lines
378,مفروم صويا 3 كيلو طبق,ابوهاشم,22.0,4 كيس,4.0,5.5,435.54545454545456,9582.0,4
12,مفروم 3 كيلو كيس 3 كيلو,ابوهاشم,15.0,4 كيس,4.0,3.75,608.0,9120.0,9
105,سجق الهنا 3 كيلو طبق,الهنا,42.0,2 كيس,2.0,21.0,191.14285714285714,8028.0,2
382,كيلو سجق مخصوص طبق,ابوهاشم,43.0,,,,183.02325581395348,7870.0,13
20,كيلو اسكندرانى طبق,ابوهاشم,44.0,,,,166.07954545454547,7307.5,24
447,استربس الهنا 900 جرام,الهنا,45.0,12 كيس,12.0,3.75,155.0,6975.0,7
417,كيلو كفته مخصوص 2 طبق,ابوهاشم,37.0,,,,170.0,6290.0,5
1111,برجر 800 ابوهاشم طبق,ابوهاشم,60.0,16 كيس,16.0,3.75,90.0,5400.0,1
319,عجينه حواوشي طبق,غير مصنف,22.0,,,,240.0,5280.0,3
14,تشكيله هندى امامى كيلو,ابوهاشم,19.64,,,,245.27494908350303,4817.2,5
190,صميد طبق,غير مصنف,250.0,,,,14.5,3625.0,1
18,كيلو برجر طبق,ابوهاشم,18.0,,,,200.0,3600.0,1
71,طبق ممبار طبق,ابوهاشم,103.0,,,,34.86330097087379,3590.92,8
386,سجق اسباشيل 1 كيلو طبق,اسبشيال,21.0,,,,170.0,3570.0,3
385,برجر مخصوص 600 جرام طبق,غير مصنف,29.0,,,,100.0,2900.0,3
15,تشكيله برازيلى كيلو,ابوهاشم,9.47,,,,284.99999999999994,2698.95,1
21,كيلو سجق طبق,ابوهاشم,26.2,,,,100.87786259541986,2643.0,11
270,برجر اسبشيال طبق,اسبشيال,45.0,15 كيس,15.0,3.0,52.666666666666664,2370.0,15
418,كيلو كفته مخصوص 1 طبق,ابوهاشم,12.0,,,,170.0,2040.0,2
23,كيلو كفته طبق,ابوهاشم,20.0,,,,100.0,2000.0,6
87,جلتومات الصوديوم طبق,غير مصنف,25.0,,,,75.0,1875.0,1
261,كتف هندى طبق,ابوهاشم,5.6,,,,190.0,1064.0,1
86,كيلو كفته مخصوص 1 كيلو,ابوهاشم,6.0,,,,170.0,1020.0,4
19,كيلو قطع ه طبق,ابوهاشم,4.0,,,,250.0,1000.0,1
433,عجينة بقرى 1 ك كيلو,ابوهاشم,12.0,,,,75.0,900.0,8
16,كرتونه كبده امريكى كيلو,ابوهاشم,5.0,,,,170.0,850.0,2
11111,كفته حاتي سيخ طبق,غير مصنف,16.0,,,,40.0,640.0,4
296,عجينه كفته طبق,الهنا,3.0,,,,200.0,600.0,1
432,بفتيك 600 جرام طبق,ابوهاشم,3.0,,,,180.0,540.0,2
383,كيلو عجينة سجق مخصوص طبق,غير مصنف,3.0,,,,150.0,450.0,2
419,عجينة سجق اسباشيل بقرى 250 جرام طبق,اسبشيال,35.0,,,,12.5,437.5,7
388,عجينة كفته الهنا خام طبق,الهنا,5.0,,,,80.0,400.0,1
299,جلد فراخ طبق,ابوهاشم,15.0,,,,26.0,390.0,1
440,استربس الهنا 1 كيلو,الهنا,3.0,,,,120.0,360.0,1
370,مفروم فراخ A طبق,ابوهاشم,5.0,,,,60.0,300.0,1
416,عجينة سجق اسبشيال نصف كيلو طبق,اسبشيال,6.0,,,,23.333333333333332,140.0,4
379,بكرة لزق شفاف طبق,غير مصنف,1.0,,,,25.0,25.0,1
436,عجينة بقرى 500 جرام كيلو,ابوهاشم,1.0,,,,0.0,0.0,1
