level,series_id,month,forecast_base,forecast_conservative,forecast_optimistic,ci95_lower,ci95_upper
customer,729,2026-09,321731.41312425083,132870.58537724742,510592.24087125424,132870.58537724742,510592.24087125424
customer,729,2026-10,333175.42991128465,115097.7304330687,551253.1293895006,115097.7304330687,551253.1293895006
customer,729,2026-11,344619.44669831847,100801.16649328783,588437.7269033492,100801.16649328783,588437.7269033492
customer,729,2026-12,356063.46348535223,88973.91948453104,623153.0074861734,88973.91948453104,623153.0074861734
customer,729,2027-01,367507.48027238605,79017.80061816622,655997.1599266059,79017.80061816622,655997.1599266059
customer,677,2026-07,204261.46542794854,97477.20419467856,311045.7266612185,97477.20419467856,311045.7266612185
customer,677,2026-08,201616.4375288677,50600.687044785765,352632.18801294966,50600.687044785765,352632.18801294966
customer,677,2026-09,198971.4096297869,14015.643725055706,383927.1755345181,14015.643725055706,383927.1755345181
customer,677,2026-10,196326.38173070608,-17242.140735833877,409894.90419724607,-17242.140735833877,409894.90419724607
customer,677,2026-11,193681.35383162525,-45095.51321306196,432458.22087631247,-45095.51321306196,432458.22087631247
customer,677,2026-12,191036.32593254442,-70530.62664902973,452603.2785141186,-70530.62664902973,452603.2785141186
customer,677,2027-01,188391.2980334636,-94133.30112552422,470915.8971924514,-94133.30112552422,470915.8971924514
customer,624,2026-07,185305.1087202767,102906.28065916615,267703.93678138725,102906.28065916615,267703.93678138725
customer,624,2026-08,188557.15066173032,72027.610494059,305086.69082940166,72027.610494059,305086.69082940166
customer,624,2026-09,191809.19260318394,49090.23591720834,334528.14928915957,49090.23591720834,334528.14928915957
customer,624,2026-10,195061.23454463755,30263.578422416438,359858.89066685864,30263.578422416438,359858.89066685864
customer,624,2026-11,198313.27648609117,14063.89567513077,382562.65729705157,14063.89567513077,382562.65729705157
customer,624,2026-12,201565.3184275448,-269.7657255002123,403400.40258058975,-269.7657255002123,403400.40258058975
customer,624,2027-01,204817.36036899837,-13189.447003870679,422824.1677418674,-13189.447003870679,422824.1677418674
customer,728,2026-06,306713.32908098795,88989.7300673908,524436.9280945851,88989.7300673908,524436.9280945851
customer,728,2026-07,318777.79851488874,10870.131941178232,626685.4650885992,10870.131941178232,626685.4650885992
customer,728,2026-08,330842.2679487896,-46266.06754951377,707950.6034470929,-46266.06754951377,707950.6034470929
customer,728,2026-09,342906.73738269036,-92540.46064450394,778353.9354098847,-92540.46064450394,778353.9354098847
customer,728,2026-10,354971.20681659115,-131873.56088371825,841815.9745169005,-131873.56088371825,841815.9745169005
customer,728,2026-11,367035.676250492,-166276.0462951518,900347.3987961358,-166276.0462951518,900347.3987961358
customer,728,2026-12,379100.1456843928,-196942.35185553308,955142.6432243186,-196942.35185553308,955142.6432243186
customer,36,2026-07,150825.7787535323,76076.13178619626,225575.42572086834,76076.13178619626,225575.42572086834
customer,36,2026-08,154004.22896111783,48292.264437310296,259716.19348492537,48292.264437310296,259716.19348492537
customer,36,2026-09,157182.67916870338,27712.49277344052,286652.8655639662,27712.49277344052,286652.8655639662
customer,36,2026-10,160361.1293762889,10861.83544161683,309860.423310961,10861.83544161683,309860.423310961
customer,36,2026-11,163539.57958387447,-3605.712329199916,330684.8714969489,-3605.712329199916,330684.8714969489
customer,36,2026-12,166718.02979146,-16380.463731693308,349816.52331461327,-16380.463731693308,349816.52331461327
customer,36,2027-01,169896.47999904555,-27872.496466399083,367665.45646449015,-27872.496466399083,367665.45646449015
customer,714,2026-07,134807.43398352078,50816.82212345963,218798.04584358193,50816.82212345963,218798.04584358193
customer,714,2026-08,139941.93996305732,21161.2775585443,258722.60236757033,21161.2775585443,258722.60236757033
customer,714,2026-09,145076.44594259385,-399.5611578291864,290552.4530430169,-399.5611578291864,290552.4530430169
customer,714,2026-10,150210.9519221304,-17770.27179799191,318192.17564225267,-17770.27179799191,318192.17564225267
customer,714,2026-11,155345.45790166693,-32463.25968922986,343154.17549256375,-32463.25968922986,343154.17549256375
customer,714,2026-12,160479.9638812035,-45254.17836009941,366214.10612250643,-45254.17836009941,366214.10612250643
customer,714,2027-01,165614.46986074004,-56603.801585133915,387832.741306614,-56603.801585133915,387832.741306614
customer,504,2026-07,79635.0185480146,35859.962006285234,123410.07508974397,35859.962006285234,123410.07508974397
customer,504,2026-08,80403.11768023313,18495.839025270376,142310.3963351959,18495.839025270376,142310.3963351959
customer,504,2026-09,81171.21681245165,5350.594777976032,156991.83884692728,5350.594777976032,156991.83884692728
customer,504,2026-10,81939.31594467016,-5610.797138788577,169489.4290281289,-5610.797138788577,169489.4290281289
customer,504,2026-11,82707.41507688868,-15176.587069315065,180591.4172230924,-15176.587069315065,180591.4172230924
customer,504,2026-12,83475.5142091072,-23751.03777961254,190702.06619782693,-23751.03777961254,190702.06619782693
customer,504,2027-01,84243.61334132572,-31574.29989588134,200061.52657853276,-31574.29989588134,200061.52657853276
