invoice_no,line_no,item_code,item_name,unit,qty,unit_price_field,pct1,pct2,line_total,source_file
9629,3,120,برجر الهنا 900 جرام,طبق,660,58.50,0.00,17,32046.30,فواتير المبيعات من 112025 الى 3152026.md
9630,1,102,كفته الهنا 350,طبق,75,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9631,1,102,كفته الهنا 350,طبق,15,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9632,1,2,كبده اسكندرانى 400,طبق,4,68.00,0.00,0.00,272,فواتير المبيعات من 112025 الى 3152026.md
9633,1,101,كفته الهنا 800 جرام,طبق,120,56.00,0.00,15,5712.00,فواتير المبيعات من 112025 الى 3152026.md
9633,2,120,برجر الهنا 900 جرام,طبق,120,58.50,0.00,15,5967.0,فواتير المبيعات من 112025 الى 3152026.md
9634,1,102,كفته الهنا 350,طبق,15,0.00,0.00,0.00,0.00,فواتير المبيعات من 112025 الى 3152026.md
9634,2,10,مفروم صويا 400 جم,طبق,1,0.00,0.00,0.00,0,فواتير المبيعات من 112025 الى 3152026.md
9635,1,101,كفته الهنا 800 جرام,طبق,12,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9636,1,107,سجق 800 ابو هاشم,طبق,1,90.00,0.00,0,90,فواتير المبيعات من 112025 الى 3152026.md
9637,1,101,كفته الهنا 800 جرام,طبق,240,56.00,0.00,15.00,11424.00,فواتير المبيعات من 112025 الى 3152026.md
9637,2,120,برجر الهنا 900 جرام,طبق,240,58.50,0.00,15.00,11934.00,فواتير المبيعات من 112025 الى 3152026.md
9637,3,108,سجق الهنا 350,طبق,150,30.00,0.00,15.00,3825.00,فواتير المبيعات من 112025 الى 3152026.md
9637,4,104,برجر الهنا 400 جرام,طبق,150,28.50,0.00,15.00,3633.75,فواتير المبيعات من 112025 الى 3152026.md
9637,5,13,سجق شرقى 3 ك ابو هاشم,كيس 3 كيلو,80,320.00,0.00,0.00,25600.00,فواتير المبيعات من 112025 الى 3152026.md
9637,6,257,سجق الهنا 5 كيلو,طبق,10,300.00,0.00,0.00,3000,فواتير المبيعات من 112025 الى 3152026.md
9638,1,104,برجر الهنا 400 جرام,طبق,150,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9639,1,101,كفته الهنا 800 جرام,طبق,192,56.00,0.00,15,9139.20,فواتير المبيعات من 112025 الى 3152026.md
9640,1,101,كفته الهنا 800 جرام,طبق,48,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9644,1,346,بانية 800 جرام,طبق,1,50.00,0.00,0,50,فواتير المبيعات من 112025 الى 3152026.md
9645,1,120,برجر الهنا 900 جرام,طبق,36,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9646,1,104,برجر الهنا 400 جرام,طبق,450,28.50,0.00,17,10644.75,فواتير المبيعات من 112025 الى 3152026.md
9646,2,108,سجق الهنا 350,طبق,675,30.00,0.00,17,16807.50,فواتير المبيعات من 112025 الى 3152026.md
9646,3,7,سجق 350 جم ابو هاشم,طبق,100,45.00,0.00,10,4050.00,فواتير المبيعات من 112025 الى 3152026.md
9646,4,8,كفته 350 جم ابو هاشم,طبق,300,40.00,0.00,10,10800.00,فواتير المبيعات من 112025 الى 3152026.md
9646,5,13,سجق شرقى 3 ك ابو هاشم,كيس 3 كيلو,188,320.00,0.00,0,60160,فواتير المبيعات من 112025 الى 3152026.md
9646,6,10,مفروم صويا 400 جم,طبق,598,55.00,0.00,0,32890,فواتير المبيعات من 112025 الى 3152026.md
9646,7,346,بانية 800 جرام,طبق,240,48.00,0.00,0,11520,فواتير المبيعات من 112025 الى 3152026.md
9647,1,104,برجر الهنا 400 جرام,طبق,450,28.50,0.00,15,10901.25,فواتير المبيعات من 112025 الى 3152026.md
9647,2,108,سجق الهنا 350,طبق,225,30.00,0.00,15,5737.5,فواتير المبيعات من 112025 الى 3152026.md
9647,3,346,بانية 800 جرام,طبق,60,50.00,0.00,0,3000,فواتير المبيعات من 112025 الى 3152026.md
9647,4,101,كفته الهنا 800 جرام,طبق,600,56.00,0.00,15,28560,فواتير المبيعات من 112025 الى 3152026.md
9647,5,120,برجر الهنا 900 جرام,طبق,600,58.50,0.00,15,29835,فواتير المبيعات من 112025 الى 3152026.md
9648,1,346,بانية 800 جرام,طبق,120,48.00,0.00,0,5760,فواتير المبيعات من 112025 الى 3152026.md
9648,2,101,كفته الهنا 800 جرام,طبق,348,56.00,0.00,15,16564.80,فواتير المبيعات من 112025 الى 3152026.md
9648,3,120,برجر الهنا 900 جرام,طبق,252,58.50,0.00,15,12530.70,فواتير المبيعات من 112025 الى 3152026.md
9648,4,99,سجق الهنا 800 جرام,طبق,300,61.00,0.00,15,15555.00,فواتير المبيعات من 112025 الى 3152026.md
9648,5,108,سجق الهنا 350,طبق,135,30.00,0.00,15,3442.50,فواتير المبيعات من 112025 الى 3152026.md
9648,6,104,برجر الهنا 400 جرام,طبق,75,28.50,0.00,15,1816.88,فواتير المبيعات من 112025 الى 3152026.md
9649,1,104,برجر الهنا 400 جرام,طبق,75,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9650,1,108,سجق الهنا 350,طبق,150,30.00,0.00,17,3735.00,فواتير المبيعات من 112025 الى 3152026.md
9651,1,292,عجينه سجق 5 كيلو,طبق,25,200.00,0.00,0,5000,فواتير المبيعات من 112025 الى 3152026.md
9652,1,373,عرض مصنعات الهنا كبير,طبق,100,70.00,0.00,0,7000,فواتير المبيعات من 112025 الى 3152026.md
9653,1,101,كفته الهنا 800 جرام,طبق,120,56.00,0.00,17,5577.60,فواتير المبيعات من 112025 الى 3152026.md
9654,1,101,كفته الهنا 800 جرام,طبق,12,56.00,0.00,0,672,فواتير المبيعات من 112025 الى 3152026.md
9654,2,120,برجر الهنا 900 جرام,طبق,12,58.50,0.00,0,702,فواتير المبيعات من 112025 الى 3152026.md
9655,1,258,كبده 3 كيلو,كيس 3 كيلو,1,510.00,0.00,0,510,فواتير المبيعات من 112025 الى 3152026.md
9656,1,104,برجر الهنا 400 جرام,طبق,150,28.50,0.00,17,3548.25,فواتير المبيعات من 112025 الى 3152026.md
9656,2,108,سجق الهنا 350,طبق,150,30.00,0.00,17,3735.00,فواتير المبيعات من 112025 الى 3152026.md
9656,3,101,كفته الهنا 800 جرام,طبق,60,56.00,0.00,17,2788.80,فواتير المبيعات من 112025 الى 3152026.md
9657,1,102,كفته الهنا 350,طبق,15,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9658,1,120,برجر الهنا 900 جرام,طبق,120,58.50,0.00,17,5826.60,فواتير المبيعات من 112025 الى 3152026.md
9658,2,102,كفته الهنا 350,طبق,300,27.50,0.00,17,6847.5,فواتير المبيعات من 112025 الى 3152026.md
